passport,destination,visa_requirement
Palestinian Territory,Afghanistan,Visa Required
Palestinian Territory,Algeria,Visa Required
Palestinian Territory,Andorra,Visa Required
Palestinian Territory,Angola,Visa Required
Palestinian Territory,Anguilla,Visa Required
Palestinian Territory,Argentina,Visa Required
Palestinian Territory,Armenia,Visa Required
Palestinian Territory,Aruba,Visa Required
Palestinian Territory,Austria,Visa Required
Palestinian Territory,Barbados,Visa Required
Palestinian Territory,Belarus,Visa Required
Palestinian Territory,Belgium,Visa Required
Palestinian Territory,Belize,Visa Required
Palestinian Territory,Bermuda,Visa Required
Palestinian Territory,Bhutan,Visa Required
Palestinian Territory,Bonaire; St. Eustatius and Saba,Visa Required
Palestinian Territory,Bosnia and Herzegovina,Visa Required
Palestinian Territory,Brazil,Visa Required
Palestinian Territory,Brunei,Visa Required
Palestinian Territory,Bulgaria,Visa Required
Palestinian Territory,Canada,Visa Required
Palestinian Territory,Cayman Islands,Visa Required
Palestinian Territory,Central African Republic,Visa Required
Palestinian Territory,Chad,Visa Required
Palestinian Territory,Chile,Visa Required
Palestinian Territory,China,Visa Required
Palestinian Territory,Congo (Rep.),Visa Required
Palestinian Territory,Costa Rica,Visa Required
Palestinian Territory,Cote d'Ivoire,Visa Required
Palestinian Territory,Croatia,Visa Required
Palestinian Territory,Curacao,Visa Required
Palestinian Territory,Cyprus,Visa Required
Palestinian Territory,Czechia,Visa Required
Palestinian Territory,Denmark,Visa Required
Palestinian Territory,Dominican Republic,Visa Required
Palestinian Territory,Egypt,Visa Required
Palestinian Territory,El Salvador,Visa Required
Palestinian Territory,Eritrea,Visa Required
Palestinian Territory,Estonia,Visa Required
Palestinian Territory,Falkland Islands,Visa Required
Palestinian Territory,Faroe Islands,Visa Required
Palestinian Territory,Fiji,Visa Required
Palestinian Territory,Finland,Visa Required
Palestinian Territory,France,Visa Required
Palestinian Territory,French Guiana,Visa Required
Palestinian Territory,French Polynesia,Visa Required
Palestinian Territory,French West Indies,Visa Required
Palestinian Territory,The Gambia,Visa Required
Palestinian Territory,Georgia,Visa Required
Palestinian Territory,Germany,Visa Required
Palestinian Territory,Ghana,Visa Required
Palestinian Territory,Gibraltar,Visa Required
Palestinian Territory,Greece,Visa Required
Palestinian Territory,Greenland,Visa Required
Palestinian Territory,Grenada,Visa Required
Palestinian Territory,Guam,Visa Required
Palestinian Territory,Guatemala,Visa Required
Palestinian Territory,Guyana,Visa Required
Palestinian Territory,Honduras,Visa Required
Palestinian Territory,Hong Kong (SAR China),Visa Required
Palestinian Territory,Hungary,Visa Required
Palestinian Territory,Iceland,Visa Required
Palestinian Territory,Iraq,Visa Required
Palestinian Territory,Ireland,Visa Required
Palestinian Territory,Israel,Visa Required
Palestinian Territory,Italy,Visa Required
Palestinian Territory,Jamaica,Visa Required
Palestinian Territory,Japan,Visa Required
Palestinian Territory,Kazakhstan,Visa Required
Palestinian Territory,Kiribati,Visa Required
Palestinian Territory,Kosovo,Visa Required
Palestinian Territory,Latvia,Visa Required
Palestinian Territory,Lebanon,Visa Required
Palestinian Territory,Libya,Visa Required
Palestinian Territory,Liechtenstein,Visa Required
Palestinian Territory,Lithuania,Visa Required
Palestinian Territory,Luxembourg,Visa Required
