cuisine,country
Amish and Mennonite,United States
Argentinian,Argentina
Australian and New Zealander,New Zealand
Australian and New Zealander,Australia
Austrian,Austria
Bangladeshi,Bangladesh
Belgian,Belgium
Brazilian,Brazil
Cajun and Creole,United States
Canadian,Canada
Chilean,Chile
Chinese,China
Colombian,Colombia
Cuban,Cuba
Danish,Denmark
Dutch,Netherlands
Filipino,Philippines
Finnish,Finland
French,France
German,Germany
Greek,Greece
Indian,India
Indonesian,Indonesia
Israeli,Israel
Italian,Italy
Jamaican,Jamaica
Japanese,Japan
Jewish,Israel
Korean,South Korea
Lebanese,Lebanon
Malaysian,Malaysia
Norwegian,Norway
Pakistani,Pakistan
Persian,Iran
Peruvian,Peru
Polish,Poland
Portuguese,Portugal
Puerto Rican,United States
Russian,Russia
Scandinavian,Sweden
Scandinavian,Denmark
Scandinavian,Norway
Soul Food,United States
South African,South Africa
Southern Recipes,United States
Spanish,Spain
Swedish,Sweden
Swiss,Switzerland
Tex-Mex,Mexico
Thai,Thailand
Turkish,Turkey
Vietnamese,Vietnam
